time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_header_stamp_secs,status_header_stamp_nsecs,status_header_frame_id,status_satellites_used,status_satellites_visible,status_status,status_motion_source,status_orientation_source,status_position_source,latitude,longitude,altitude,track,speed,climb,pitch,roll,dip,time,gdop,pdop,hdop,vdop,tdop,err,err_horz,err_vert,err_track,err_speed,err_climb,err_time,err_pitch,err_roll,err_dip,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:07:18.615200266,108,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394173760619775,3.0200749593431368e-12,-5.727367645192276e-14,0.0,0.0,0.0,2026/02/13 16:07:18.615200266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.650292317,109,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394150753418053,3.0200717563510466e-12,-5.726461278196755e-14,0.0,0.0,0.0,2026/02/13 16:07:18.650292317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.758146870,109,100000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139415506535435,3.020071309556256e-12,-5.728303719326894e-14,0.0,0.0,0.0,2026/02/13 16:07:18.758146870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.874115238,109,200000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1396402276162783,3.0391473594214536e-12,-7.615237793125853e-14,0.0,0.0,0.0,2026/02/13 16:07:18.874115238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:18.980120480,109,300000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1349302144477953,3.000512486098661e-12,-9.467564129748608e-14,0.0,0.0,0.0,2026/02/13 16:07:18.980120480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.88128514,109,400000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394157262720856,3.020078519650911e-12,-5.726942854781353e-14,0.0,0.0,0.0,2026/02/13 16:07:19.88128514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.192572594,109,500000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.1396397574482906,3.0391555849238102e-12,-7.614638663005868e-14,0.0,0.0,0.0,2026/02/13 16:07:19.192572594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.299664572,109,600000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139413671592337,3.0200751949045947e-12,-5.727537760849966e-14,0.0,0.0,0.0,2026/02/13 16:07:19.299664572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.405718724,109,700000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139416261123124,3.0200762869394826e-12,-5.728688134049506e-14,0.0,0.0,0.0,2026/02/13 16:07:19.405718724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.509216247,109,800000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139415984640306,3.020075287491548e-12,-5.728978093078495e-14,0.0,0.0,0.0,2026/02/13 16:07:19.509216247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.610406638,109,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.134929076133971,3.0005099350418467e-12,-9.468006987304606e-14,0.0,0.0,0.0,2026/02/13 16:07:19.610406638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.717801078,110,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.134931341990236,3.0005045427387947e-12,-9.469794585151765e-14,0.0,0.0,0.0,2026/02/13 16:07:19.717801078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.823405482,110,100000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.127429400178534,2.9974553653691597e-12,-4.309518871287096e-14,0.0,0.0,0.0,2026/02/13 16:07:19.823405482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:19.926797622,110,200000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.13941447706638,3.020069507205063e-12,-5.727214469109019e-14,0.0,0.0,0.0,2026/02/13 16:07:19.926797622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.30460898,110,300000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394162053394865,3.0200744714284387e-12,-5.728475821243178e-14,0.0,0.0,0.0,2026/02/13 16:07:20.30460898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.134613974,110,400000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394154074876117,3.0200736122215634e-12,-5.725809664017574e-14,0.0,0.0,0.0,2026/02/13 16:07:20.134613974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.236223364,110,500000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139416052945522,3.020075681931363e-12,-5.72763156602199e-14,0.0,0.0,0.0,2026/02/13 16:07:20.236223364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.347198939,110,600000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.134930895166109,3.0005020439154835e-12,-9.468936729698268e-14,0.0,0.0,0.0,2026/02/13 16:07:20.347198939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.448558758,110,700000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.139417269981029,3.0200765685698015e-12,-5.727414187823286e-14,0.0,0.0,0.0,2026/02/13 16:07:20.448558758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.553397180,110,800000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.13472760944987,2.9649353790222944e-12,-4.705511205290043e-14,0.0,0.0,0.0,2026/02/13 16:07:20.553397180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.654924288,110,900000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394174181398804,3.0200691166342366e-12,-5.72671231870441e-14,0.0,0.0,0.0,2026/02/13 16:07:20.654924288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.759571129,111,0,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134728611592964,2.9649332619175516e-12,-4.705467854550227e-14,0.0,0.0,0.0,2026/02/13 16:07:20.759571129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.866061658,111,100000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,3.1394138005750443,3.020072540039704e-12,-5.727930242036224e-14,0.0,0.0,0.0,2026/02/13 16:07:20.866061658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:07:20.972475943,111,200000000,gnss_link,0,0,,0,0,20,0,0,1,55.86728538236451,37.69145258506212,150.2069659093395,-3.134728822590422,2.96493527478362e-12,-4.70503280324981e-14,0.0,0.0,0.0,2026/02/13 16:07:20.972475943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
